name,category,tier,exclusions,conflicts,premium
Indigo Wave Studios,art,platinum,,,yes
Saltwater Ceramics,craft,gold,,Driftwood & Clay Co,yes
Palmetto Printworks,art,silver,,,
Driftwood & Clay Co,craft,silver,,Saltwater Ceramics,
Coastline Kettle Corn,food,bronze,,,
Banyan Street Jewelers,jewelry,gold,,,yes
Hula Hoop Hannah,services,bronze,,Face Paint Frenzy,
Face Paint Frenzy,services,silver,,Hula Hoop Hannah,
Sawgrass Leather Co,craft,bronze,,,
Tidal Ink Tattoos,services,platinum,cat:services,,yes
