name,category,tier,exclusions
Tie Dye Dreams,clothing,silver,
Silver Moon Jewelry,jewelry,gold,
Thread & Needle,clothing,gold,
Joe's BBQ,food,silver,
Handmade Haven,craft,gold,
Mama Rosa's Kitchen,food,bronze,
Knotty by Nature,craft,silver,
Boho Beach Wear,clothing,silver,
Sunrise Tacos,food,bronze,
The Smoky Pit,food,bronze,
Sun Kissed Apparel,clothing,gold,
Coastal Gems,jewelry,bronze,
Bead & Wire Studio,jewelry,platinum,
Quick Caricatures,services,silver,
Sea Glass Designs,jewelry,bronze,
The Craft Barn,craft,gold,
Coastal Creamery,food,bronze,
Beachside Bites,food,silver,
Stitch & Stone,craft,bronze,
Grill & Chill,food,gold,
The Hat Shack,clothing,bronze,
Face Paint Fantasy,services,bronze,
Festival Maps & More,other,gold,
Vintage Vibes Clothing,clothing,bronze,
Coastal Threads,clothing,gold,
Henna by Hannah,services,bronze,
Woodwork Wonders,craft,bronze,
Island Wear Co,clothing,bronze,
Sunset Paintings,art,silver,
Paper & Thread,craft,silver,
Noodle Shack,food,bronze,
Fryin' Saucer,food,silver,
The Waffle House,food,silver,
Color Splash Studio,art,gold,cat:jewelry
Ocean Brush Art,art,gold,
The Canvas Collective,art,gold,
Twisted Metal Co,jewelry,platinum,
The Potters Wheel,craft,bronze,
Sweet Corn Stand,food,silver,
Breeze Boutique,clothing,bronze,
Bayou Boil,food,silver,
Lemon Drop Lemonade,food,gold,
Palm Reading Palace,services,silver,
Festival Fashion,clothing,platinum,
Photo Booth Fun,services,silver,
Pearl Cove Jewelry,jewelry,silver,
Stone & Spark,jewelry,gold,
Pizza Planet Cart,food,silver,
Island Jerk Hut,food,platinum,
Driftwood Gallery,art,silver,cat:craft
Airbrush Alley,services,gold,
Palette Knife Works,art,gold,
Watercolor Wonders,art,bronze,cat:jewelry
Abstract Horizons,art,bronze,
Stitched Up Style,clothing,bronze,
Funnel Cake Factory,food,bronze,
Boardwalk Burgers,food,gold,
Pho Real,food,gold,
Balloon Twist Co,services,bronze,
Linen & Sea,clothing,bronze,
Crab Cake Cove,food,silver,
Amber Wave Designs,jewelry,bronze,
Palm Print Co,clothing,gold,
Tarot by the Sea,services,bronze,
Wave Rider Apparel,clothing,silver,
Kettle Corn King,food,platinum,
Curry Up Now,food,bronze,
Taco Libre,food,bronze,
Sushi Roll Wagon,food,gold,
Hair Wrap Haven,services,gold,
Hot Dog Haven,food,gold,
Candle Cove Crafts,craft,gold,
Coastal Impressions,art,bronze,cat:jewelry
Sandal City,clothing,gold,
Crepe Escape,food,silver,
Woven Winds,craft,silver,cat:craft
Tie Dye Dreams #2,clothing,bronze,
The Pretzel Twist,food,gold,
Temp Tattoo Studio,services,gold,
Seascape Studio,art,bronze,
Thread & Needle #2,clothing,bronze,
Leather & Lace Co,craft,bronze,
Boho Beach Wear #2,clothing,bronze,
Sun Kissed Apparel #2,clothing,bronze,
Mango Tango Smoothies,food,silver,
The Hat Shack #2,clothing,bronze,
Soap Suds Studio,craft,silver,
Vintage Vibes Clothing #2,clothing,bronze,
Glassblown Treasures,craft,silver,
Coastal Threads #2,clothing,silver,
Macrame Magic,craft,silver,
Dye Hard Crafts,craft,gold,
Vivid Visions Art,art,platinum,
Empanada Express,food,gold,
Island Wear Co #2,clothing,gold,
Lobster Roll Co,food,platinum,
Rustic Revival,craft,bronze,cat:art
Handmade Haven #2,craft,silver,
Brisket Boss,food,silver,
Joe's BBQ #2,food,silver,
Crystal Clear Jewelry,jewelry,bronze,
Knotty by Nature #2,craft,bronze,cat:art
Spectrum Fine Art,art,silver,
Sunscreen Station,other,gold,
Portrait Sketches,services,gold,
Mama Rosa's Kitchen #2,food,gold,
Pet Bandana Booth,other,bronze,
Gallery on the Green,art,silver,cat:art
Breeze Boutique #2,clothing,bronze,
Tidal Art Co,art,silver,
Brushstroke Boutique,art,platinum,
Sunset Paintings #2,art,bronze,
Color Splash Studio #2,art,gold,
Sunrise Tacos #2,food,bronze,
Festival Fashion #2,clothing,gold,
The Smoky Pit #2,food,gold,
Ocean Brush Art #2,art,gold,
Eco Straw Co,other,bronze,
The Craft Barn #2,craft,bronze,
Stitch & Stone #2,craft,bronze,
Glitter Bar,services,platinum,
The Canvas Collective #2,art,silver,
Coastal Creamery #2,food,gold,
Beachside Bites #2,food,bronze,
Woodwork Wonders #2,craft,silver,
Driftwood Gallery #2,art,bronze,
Paper & Thread #2,craft,silver,
Quick Caricatures #2,services,bronze,
Palette Knife Works #2,art,silver,
Grill & Chill #2,food,gold,
Noodle Shack #2,food,bronze,
Fryin' Saucer #2,food,bronze,
The Waffle House #2,food,gold,
Stitched Up Style #2,clothing,silver,
Bohemian Baubles,jewelry,silver,
Watercolor Wonders #2,art,gold,
Linen & Sea #2,clothing,silver,
Palm Print Co #2,clothing,silver,
Face Paint Fantasy #2,services,silver,
Wave Rider Apparel #2,clothing,silver,
Henna by Hannah #2,services,gold,
Sweet Corn Stand #2,food,gold,
Sandal City #2,clothing,platinum,
The Potters Wheel #2,craft,silver,
Palm Reading Palace #2,services,bronze,
The Ring Smith,jewelry,silver,
Abstract Horizons #2,art,gold,
Bayou Boil #2,food,silver,
Coastal Impressions #2,art,platinum,cat:craft
Candle Cove Crafts #2,craft,bronze,
Lemon Drop Lemonade #2,food,silver,
Seascape Studio #2,art,silver,
Pizza Planet Cart #2,food,bronze,
Island Jerk Hut #2,food,bronze,
Vivid Visions Art #2,art,silver,
Photo Booth Fun #2,services,bronze,
Spectrum Fine Art #2,art,gold,
Plant Pals,other,bronze,
Magnet Mania,other,silver,
Charm School Jewelry,jewelry,silver,
Silver Moon Jewelry #2,jewelry,silver,
Sticker Shock,other,bronze,
Funnel Cake Factory #2,food,silver,
Woven Winds #2,craft,silver,
Boardwalk Burgers #2,food,bronze,
Tie Dye Dreams #3,clothing,bronze,
Pho Real #2,food,silver,
Gallery on the Green #2,art,silver,
Crab Cake Cove #2,food,silver,
Thread & Needle #3,clothing,gold,
Kettle Corn King #2,food,silver,
Leather & Lace Co #2,craft,silver,
Coastal Gems #2,jewelry,bronze,
Curry Up Now #2,food,bronze,
Bead & Wire Studio #2,jewelry,silver,
Boho Beach Wear #3,clothing,silver,
Soap Suds Studio #2,craft,silver,cat:craft
Taco Libre #2,food,gold,
Sushi Roll Wagon #2,food,silver,
Glassblown Treasures #2,craft,bronze,
Hot Dog Haven #2,food,platinum,
Sun Kissed Apparel #3,clothing,silver,
Crepe Escape #2,food,silver,
Sea Glass Designs #2,jewelry,silver,
Tidal Art Co #2,art,gold,
Macrame Magic #2,craft,platinum,
The Pretzel Twist #2,food,gold,
Dye Hard Crafts #2,craft,bronze,cat:craft
Mango Tango Smoothies #2,food,bronze,
The Hat Shack #3,clothing,silver,
Twisted Metal Co #2,jewelry,gold,
Rustic Revival #2,craft,silver,
Handmade Haven #3,craft,bronze,
Empanada Express #2,food,silver,
Lobster Roll Co #2,food,silver,
Brisket Boss #2,food,bronze,
Knotty by Nature #3,craft,gold,
Vintage Vibes Clothing #3,clothing,silver,
Pearl Cove Jewelry #2,jewelry,gold,
Stone & Spark #2,jewelry,platinum,
Joe's BBQ #3,food,bronze,
Mama Rosa's Kitchen #3,food,silver,
Brushstroke Boutique #2,art,bronze,
Sunset Paintings #3,art,bronze,
Sunrise Tacos #3,food,platinum,
The Craft Barn #3,craft,bronze,
The Smoky Pit #3,food,silver,
Coastal Creamery #3,food,bronze,
Airbrush Alley #2,services,platinum,
Beachside Bites #3,food,silver,
Balloon Twist Co #2,services,silver,
Color Splash Studio #3,art,bronze,
Tarot by the Sea #2,services,gold,
Ocean Brush Art #3,art,bronze,
Coastal Threads #3,clothing,bronze,
Grill & Chill #3,food,bronze,
Island Wear Co #3,clothing,silver,
Amber Wave Designs #2,jewelry,gold,
Breeze Boutique #3,clothing,silver,
Festival Fashion #3,clothing,bronze,
The Canvas Collective #3,art,silver,cat:jewelry
Stitch & Stone #3,craft,silver,
Woodwork Wonders #3,craft,gold,cat:art
Hair Wrap Haven #2,services,platinum,
Temp Tattoo Studio #2,services,bronze,
Noodle Shack #3,food,bronze,
Driftwood Gallery #3,art,platinum,
Fryin' Saucer #3,food,gold,
Portrait Sketches #2,services,silver,
Stitched Up Style #3,clothing,gold,
Keychain Corner,other,silver,
Crystal Clear Jewelry #2,jewelry,silver,
Palette Knife Works #3,art,bronze,
Bohemian Baubles #2,jewelry,bronze,
Paper & Thread #3,craft,gold,
Linen & Sea #3,clothing,silver,
Palm Print Co #3,clothing,silver,
The Potters Wheel #3,craft,gold,
Glitter Bar #2,services,platinum,
Quick Caricatures #3,services,silver,
The Waffle House #3,food,silver,
Candle Cove Crafts #3,craft,silver,cat:craft
Woven Winds #3,craft,silver,
Wave Rider Apparel #3,clothing,bronze,
The Ring Smith #2,jewelry,bronze,
